"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Lebanon","8.8","5.3","5.3","4.2","4.5","4.9","4.7","5.7","5.5","4.2","1.9","3.7","2.1","No data","No data","No data"
"Lesotho","23.9","32.9","39.4","33.2","32.6","19.2","20.5","13.8","7.7","6.7","7.1","4.8","2.9","No data","No data","No data"
"Liberia","49.1","43.7","19.0","16.6","17.1","16.6","16.4","7.7","8.5","5.4","5.1","3.0","1.4","1.3","1.5","1.1"
"Libya","No data","No data","No data","No data","0.0","0.0","0.1","0.2","0.1","No data","0.0","0.0","0.0","No data","No data","No data"
"Lithuania","2.7","1.4","0.5","0.4","0.5","0.4","0.1","0.0","0.0","0.0","0.0","0.0","1.0","0.8","1.0","7.9"
"Luxembourg","0.3","0.5","0.3","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Madagascar","5.6","5.9","4.1","4.1","6.4","3.5","5.7","4.5","3.4","4.2","4.0","3.1","1.8","3.1","3.2","1.8"
"Malawi","18.3","21.7","26.3","22.5","24.7","20.9","21.6","18.3","16.0","12.9","10.6","10.4","5.6","5.7","1.8","2.2"
"Malaysia","0.1","0.2","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","No data","No data","No data"
"Maldives","3.7","4.4","6.0","6.5","3.8","2.0","3.0","5.8","1.1","3.2","1.9","1.4","1.9","4.3","2.3","4.3"
"Mali","15.4","17.4","12.2","8.8","5.1","4.8","3.7","3.5","3.3","1.9","1.3","1.3","0.6","0.7","0.5","0.7"
"Malta","0.3","0.2","0.9","0.1","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Marshall Islands","248.7","221.5","208.8","210.2","206.1","257.6","232.1","253.5","230.6","415.0","360.0","208.8","148.9","142.5","140.3","154.3"
"Mauritania","4.7","5.8","4.8","2.5","2.5","2.4","2.2","2.3","1.6","0.8","1.7","2.1","2.6","1.2","0.9","1.0"
"Mauritius","13.8","2.3","7.2","11.1","18.8","11.0","7.5","3.2","0.4","0.2","0.1","0.1","0.2","No data","No data","No data"
"Mexico","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
