"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Guinea-Bissau","31.3","29.6","28.5","18.7","7.7","14.0","29.3","31.1","32.0","33.5","34.4","40.8","28.5","20.2","35.6","38.3"
"Guyana","173.0","195.4","167.7","136.4","117.8","99.5","89.4","85.2","90.0","85.6","155.9","155.1","149.7","150.1","135.0","122.8"
"Haiti","12.8","12.7","14.1","12.5","11.4","8.5","9.0","10.8","9.1","6.6","8.2","6.6","9.6","10.5","12.3","14.2"
"Honduras","137.1","131.0","138.9","142.5","121.0","134.2","138.2","115.9","119.3","110.9","96.1","75.5","75.5","70.5","67.3","79.8"
"Hungary","1275.9","1221.8","1182.8","1128.7","1144.5","1087.3","1023.1","1011.3","945.5","1011.1","964.6","887.4","884.5",,,
"Iceland","3353.7","3155.8","2995.7","2835.3","2747.3","2721.5","3042.4","3053.7","2932.1","2825.4","2779.2","2734.0","2660.1","0.0","0.0","0.0"
"India","60.8","48.7","45.5","45.8","43.5","38.2","36.1","29.8","26.4","23.7","21.8","18.3","17.7","16.8","17.0","16.7"
"Indonesia","141.1","139.9","125.0","109.2","92.1","87.0","77.6","73.8","77.6","58.8","48.3","46.0","47.2","37.0","41.1","29.4"
"Iran (Islamic Republic of)","673.6","615.9","398.2","389.5","399.0","388.6","398.9","320.3","323.3","317.0","265.0","237.3","234.4","198.1","194.8","171.6"
"Iraq","111.8","163.7","178.9","150.3","277.0","297.4","348.1","279.5","222.2","172.8","196.0","251.8","82.4",,,
"Ireland","3733.8","3534.1","3523.4",,,,,,,,,,,,,
"Israel",,,"1583.8","1458.5","1376.1","1313.2","1231.2","1212.1","1196.5","1166.0",,,,,,
"Italy","2508.6","2476.7","2485.1","2477.0","2473.6","2467.5","2432.3","2361.4","2157.4","2130.8","1950.3","1845.8","1726.4","1696.7","1623.5","1487.5"
"Jamaica","299.6","246.5","267.9","229.3","239.4","233.1","229.1","242.2","219.6","191.5","150.4","197.8","160.4","185.1","156.9","201.6"
"Japan","0.0","3566.8","3521.5","3347.4","3163.9","2615.5","2427.5","2307.3","2205.0","2063.8","1990.9","1861.0","1752.1","1693.4","1629.8","1532.8"
"Jordan","324.8","434.2","410.0","470.1","518.3","519.5","601.6","494.3","421.0","347.3","359.0","257.0","283.0","293.1","273.6","248.5"
"Kazakhstan","543.6","551.1","536.8","551.2","488.2","521.6","482.3","409.6","309.2","361.3","349.7","284.3","224.0","194.4","178.1","165.2"
"Kenya","52.0","52.2","51.5","47.5","45.0","43.0","30.2","26.6","34.9","31.2","35.5","36.8","38.1","38.2","35.8","32.8"
"Kiribati","145.3","154.0","145.9","138.8","142.2","145.3","151.8","187.0","167.3","170.2","195.5","199.5","171.0","186.4","187.2","133.0"
"Kuwait","2504.2","2050.5","1676.7","1729.7","1747.3","1720.1","2675.5","1360.5","1532.3","1613.1","1580.6","1660.7","1751.3","1627.2","1628.7","1058.6"
"Kyrgyzstan","128.6","124.9","128.3","123.7","108.0","93.8","96.3","78.5","76.7","95.1","81.5","49.1","43.5","39.2","35.0","34.9"
"Lao People's Democratic Republic","58.4","41.9","38.2","21.9","16.9","27.8","47.3","20.3","20.1","21.0","26.6","21.6","27.2","24.9","28.8","25.7"
"Latvia","821.8","782.3","731.5","691.6","694.6","644.0","613.9","655.1","608.7","554.1","449.8","425.2","300.1","286.7","253.2","220.2"
"Lebanon","564.6","589.4","579.6","621.4","560.1","484.1","418.8","431.2","445.3","403.4","320.0","318.9","290.9","305.4","345.2","316.4"
"Lesotho","142.7","127.3","94.0","100.2","86.1","73.7","105.2","91.4","89.6","56.6","41.1","51.0","51.8","48.9","55.2","42.3"
"Liberia","9.5","9.7","14.8","14.1","16.9","8.4","9.9","13.8","7.4","5.8","4.2","5.2","3.5","4.7","7.4","6.9"
"Libya",,,,,"397.0","670.1","667.3","380.2","406.3","395.6","390.4","456.3","560.7","570.3","440.7","339.3"
"Lithuania","1234.5","1157.9","1080.4","1038.5","1046.1","970.0","962.1","925.4","777.1","647.4","541.7","474.6","567.7","480.3","393.9","337.0"
"Luxembourg","5275.9","5373.4","5278.9","5098.3","4750.2","5189.7","5230.7","4959.3","4468.4","4366.1","4108.8","3958.1","3494.9","3293.6","2988.6","2697.5"
"Madagascar","34.7","29.6","21.6","18.2","24.0","29.6","20.0","23.7","30.0","24.8","21.5","22.8","21.0","24.0","28.8","25.9"
"Malawi","31.0","25.4","22.9","14.3","17.1","16.1","14.3","17.5","8.9","10.4","11.1","8.7","11.3","8.2","12.2","15.7"
"Malaysia","554.0","531.5","465.6","442.1","395.6","357.4","378.2","346.5","345.8","314.5","241.5","251.2","242.9","206.5","194.8","168.1"
"Maldives","1235.3","1313.6","958.9","540.3","674.0","509.8","610.6","721.2","399.6","272.6","220.8","182.3","146.3","138.2","138.2","124.3"
"Mali","19.6","18.0","13.8","8.6","13.1","11.9","15.8","18.4","25.4","30.5","28.4","29.3","19.9","13.8","13.7","12.1"
"Malta","2105.3","1975.6","1875.2","1672.1","1583.1","1477.7","1377.6","1355.6","1367.9","1406.0","1339.2","1211.3","1155.3","1067.0","896.2","869.5"
"Marshall Islands","461.4","367.9","420.8","367.7","346.7","277.6","316.3","322.9","383.5","289.9","284.4","285.3","268.0","269.2","304.6","347.6"
"Mauritania","69.1","57.9","50.1","40.6","33.0","30.8","35.7","37.5","32.2","27.7","29.3","22.2","23.3","25.7","16.1","13.9"
"Mauritius","503.2","477.6","356.7","326.9","287.9","308.4","233.6","201.2","199.9","203.3","206.3","210.5","181.5","171.0","154.8","144.8"
"Mexico","526.2","510.7","528.3","502.1","469.6","431.9","405.4","380.7","353.7","325.5","304.9","297.7","264.4",,,
"Micronesia (Federated States of)","119.0","105.9","94.9","90.2","103.7","75.6","69.2","91.1","75.5","79.4","78.2","64.7","58.7","45.6","48.0","43.8"
"Monaco","2754.4","2808.4","2636.1","2442.5","2343.9","2276.9","2185.7","2100.7","1923.9","1884.0","1865.1","1796.5","1702.4","1485.9","1397.1","1303.9"
"Mongolia","245.2","228.2","218.2","199.8","159.1","155.6","181.6","191.9","160.4","123.6","122.4","130.7","122.0","144.6","134.7","156.1"
"Montenegro","642.6","589.7","587.1","553.2","542.0","519.8","433.0","523.8","535.8","550.1","464.7","467.4","467.3","391.8","378.2","290.1"
"Morocco","188.5","190.5","185.0","171.5","159.7","149.9","155.6","126.7","122.9","96.7","59.8","59.1","53.9","49.4","42.3","35.2"
"Mozambique","5.2","21.3","10.9","14.6","2.9","3.6","5.7","10.6","17.6","21.7","19.9","16.2","15.6","17.1","17.8","13.1"
"Myanmar","61.5","48.9","26.5","16.8","8.3","6.5","6.0","5.1","5.3","6.2","3.4","4.6","3.6","4.3","2.7","2.9"
"Namibia","593.6","529.9","491.4","453.2","457.5","423.8","348.2","417.6","458.6","376.6","376.8","394.4","366.3","341.8","312.2","301.0"
"Nauru","576.9","510.6","301.7","324.4","363.2","408.9","307.5","739.0","602.1","507.3","457.9","481.4","581.5","517.5","551.4","596.3"
"Nepal","27.3","25.3","20.9","19.4","18.5","17.5","16.8","14.4","12.8","15.3","12.9","10.5","10.8","12.4","9.7","7.3"
"Netherlands","4288.4","4305.9","4310.2","4180.8","3991.8","3838.0","3730.5","3570.2","3337.1","3085.6","2326.2","1984.4","1900.3","0.0","0.0","0.0"
"New Zealand",,,"2671.0","2528.8","2498.3","2422.6","2383.4","2190.9","2010.4","1918.8","1692.1","1581.1",,"1429.0","1294.5","1253.1"
"Nicaragua","229.5","212.2","187.5","178.9","156.4","117.4","133.0","124.8","109.9","91.9","88.3","77.9","56.8","69.9","71.7","69.7"
"Niger","14.4","15.2","16.3","13.4","14.5","13.0","15.9","16.7","14.8","19.1","16.7","9.6","8.7","11.6","11.0","8.4"
"Nigeria","35.6","26.6","27.7","29.6","25.2","22.6","54.1","59.8","57.7","43.9","38.1","43.2","23.8","12.7","20.5","17.5"
"Niue","304.8","311.6","308.1","292.9","662.1","277.4","351.8","429.1","310.9","283.0","285.6","267.1","659.3","658.6","590.2","459.0"
"Norway","5313.1","5268.3","5116.9","4894.1","4636.6","4403.9","4273.3","4160.7","3786.4","3585.7","3318.2","3125.2","2962.4",,,
"Oman","1443.7","1344.0","1054.4","921.1","879.0","1008.2","1016.3","684.9","798.0","726.9","786.5","873.4","928.1","964.7","930.3","872.8"
"Pakistan","36.9","33.7","32.5","30.2","26.4","24.0","23.7","23.1","27.1","18.8","22.7","23.2","19.9","33.5","29.2","30.3"
"Palau","709.9","729.0","717.6","643.4","522.4","496.8","461.6","392.3","456.3","468.8","440.6","498.0","443.9","436.4","448.3","498.0"
"Panama","950.1","875.7","798.1","645.4","628.3","634.3","598.3","613.5","570.0","497.1","410.6","459.8","395.5","401.9","391.0","397.7"
"Papua New Guinea","70.0","86.4","92.0","54.9","47.2","39.0","42.8","40.6","42.6","39.7","38.1","39.8","31.5","36.2","34.8","35.7"
"Paraguay","387.8","370.1","299.1","304.0","248.2","206.1","187.9","142.5","137.5","125.9","103.2","97.8","93.4","76.7","102.0","118.1"
"Peru","414.0","382.3","330.4","285.5","251.8","241.8","227.5","194.2","175.9","171.5","167.9","170.9","169.5","161.1","140.5","122.9"
"Philippines","101.3","80.7","76.4","70.1","63.3","75.4","68.3","61.9","59.9","57.4","54.9","45.4","43.1","36.0","41.3","46.9"
"Poland","1191.0","1134.8","1114.1",,,,,,,,,,,,,
"Portugal","1762.3","1714.5","1693.7","1617.3","1725.4","1874.3","1831.0","1704.2","1602.2","1559.6","1530.0","1420.2","1318.9","1268.3","1169.2","1118.3"
"Qatar","3331.3","2675.8","2217.8","1765.6","1522.1","1557.4","1729.7","1374.5","1651.7","1794.5","1881.6","2315.3","2392.5","1407.8","1278.1","1026.5"
"Republic of Korea","1441.5","1357.7","1273.8","1222.6","1178.2","1144.5","1042.0","951.1","898.8","806.5","683.1","610.0","565.7","519.6","505.7","386.5"
"Republic of Moldova","234.7","254.5","226.7","224.2","212.8","213.5","205.9","196.4","190.7","165.5","148.2","140.5","78.5","77.8","57.3","54.4"
"Romania","847.9","823.2","812.9","684.1","630.4","781.7","689.2","682.6","555.0","463.8","425.2","364.8","341.8","268.1","228.8","198.1"
"Russian Federation","863.7","827.9","786.7","808.9","726.7","668.7","726.1","661.9","524.3","469.4","369.3","306.7","297.6","277.4","240.5","218.2"
"Rwanda","30.6","43.8","28.9","31.0","34.0","23.4","21.2","20.7","18.7","15.8","19.9","18.9","20.7","10.0","8.3","7.3"
