"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Russian Federation","No data","No data","No data","No data","No data","No data","No data","0.5","0.5","0.6","0.6","0.7","0.8","0.9","0.8","0.7"
"Rwanda","63.2","51.9","56.7","58.6","55.5","64.1","59.2","55.6","51.5","46.3","25.1","23.6","23.0","12.1","11.3","13.9"
"Saint Kitts and Nevis","0.1","11.3","44.8","33.4","21.5","17.7","43.3","41.9","2.1","0.1","0.8","7.7","0.1","0.1","0.1","0.1"
"Saint Lucia","37.2","49.1","99.3","128.7","12.6","32.1","15.5","5.8","11.3","3.1","1.3","3.2","1.9","1.2","0.3","0.3"
"Saint Vincent and the Grenadines","30.0","8.7","7.0","18.3","18.4","27.8","10.3","10.4","10.8","3.5","0.7","0.7","0.7","0.7","0.7","2.1"
"Samoa","28.6","64.0","82.1","23.7","66.7","32.1","28.7","34.7","44.6","39.0","40.5","38.9","30.0","38.1","29.5","29.7"
"San Marino","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Sao Tome and Principe","151.4","134.5","146.5","115.6","47.7","39.8","80.3","53.6","70.5","77.6","69.7","57.9","71.1","71.2","88.9","59.6"
"Saudi Arabia","No data","No data","0.0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Senegal","11.4","9.3","13.9","8.3","7.4","10.5","6.5","4.2","5.0","5.1","6.1","2.2","2.8","3.0","2.8","2.7"
"Serbia","5.4","7.6","9.2","9.7","10.3","11.1","4.4","4.2","6.1","6.1","5.9","7.5","7.0","No data","No data","No data"
"Seychelles","4.0","5.3","31.0","21.4","68.3","24.1","2.7","3.2","3.8","5.0","5.1","16.5","6.7","No data","No data","No data"
"Sierra Leone","134.9","82.9","59.1","27.7","40.5","33.3","28.9","20.3","18.8","22.0","19.8","13.7","5.8","8.2","4.0","7.1"
"Singapore","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Slovakia","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Slovenia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Solomon Islands","60.0","61.2","34.9","77.4","60.7","47.3","44.9","33.5","38.7","42.9","39.7","35.8","22.1","27.1","26.9","8.2"
"Somalia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"South Africa","26.4","26.2","19.3","19.6","22.4","25.8","22.7","18.0","12.7","10.5","8.9","8.8","8.8","8.4","8.9","8.8"
"South Sudan","10.1","7.1","7.8","3.6","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Spain","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","No data","No data","No data"
"Sri Lanka","4.0","4.6","4.0","2.9","3.7","5.6","7.4","4.1","4.9","7.4","3.4","2.4","5.5","1.2","2.1","2.4"
"Sudan","5.4","8.3","13.2","9.0","20.6","7.0","10.2","6.2","7.2","9.1","4.3","2.0","1.8","No data","No data","No data"
"Suriname","86.1","31.1","41.9","46.4","45.9","72.5","66.4","59.5","55.2","68.7","109.4","101.3","97.3","75.4","67.3","99.8"
"Sweden","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Switzerland","0.0","0.0","0.0","0.0","0.0","0.0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Syrian Arab Republic","No data","No data","No data","1.6","2.6","2.0","2.0","1.4","1.3","2.6","0.3","0.5","0.6","0.7","0.3","0.2"
"Tajikistan","16.3","15.5","13.1","12.1","18.9","10.6","13.5","9.1","9.3","9.1","10.7","5.8","6.0","No data","No data","No data"
"Thailand","2.0","2.0","1.6","0.7","0.9","0.6","0.3","0.5","0.2","0.2","0.2","0.5","0.5","0.6","0.0","0.0"
"Republic of North Macedonia","3.2","6.8","2.3","9.9","8.2","5.2","13.1","20.4","6.0","17.1","8.8","8.1","5.5","No data","No data","No data"
"Timor-Leste","38.4","32.3","51.3","40.5","46.3","41.2","49.5","37.9","44.9","25.4","15.7","11.8","4.6","0.0","No data","No data"
"Togo","14.5","14.5","14.6","8.5","6.5","4.5","7.2","6.7","6.1","5.0","4.0","3.5","2.9","2.2","1.9","1.7"
"Tonga","126.1","83.9","71.5","90.9","55.6","61.0","32.7","112.3","62.2","85.2","53.8","61.6","36.0","38.8","41.8","42.4"
"Trinidad and Tobago","3.9","4.0","4.3","4.6","15.1","15.3","6.9","10.0","8.0","2.1","1.9","1.2","0.7","0.8","1.0","0.0"
"Tunisia","3.3","0.5","0.8","0.7","9.0","7.2","5.7","4.1","2.8","1.4","0.3","0.3","0.3","0.3","0.3","0.3"
"Turkey","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Turkmenistan","2.4","2.3","1.1","2.6","2.5","1.1","1.3","1.3","0.7","0.6","0.6","0.6","0.9","No data","No data","No data"
"Tuvalu","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Uganda","55.2","48.4","45.3","50.3","75.5","85.1","28.7","35.2","32.6","33.3","29.0","19.5","11.2","17.5","19.5","18.4"
"Ukraine","11.4","5.5","4.2","3.5","2.5","4.0","4.0","3.2","3.3","2.3","0.0","0.0","0.0","No data","No data","No data"
"United Arab Emirates","No data","No data","0.0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"United Kingdom of Great Britain and Northern Ireland","0.4","0.4","0.4","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"United Republic of Tanzania","35.4","43.8","48.2","54.2","48.9","41.5","34.3","41.6","52.6","53.4","28.8","27.4","23.7","19.9","19.6","18.8"
"United States of America","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Uruguay","1.6","1.4","1.4","3.2","1.3","0.6","0.5","0.8","0.5","20.0","0.6","10.1","2.1","0.2","0.2","0.2"
"Uzbekistan","4.8","3.3","6.1","4.5","5.4","4.2","3.5","3.1","3.4","3.6","6.4","4.1","5.7","No data","No data","No data"
"Vanuatu","5.2","24.4","39.2","34.1","25.7","32.6","24.4","13.2","13.2","20.0","16.8","16.7","12.4","6.9","11.4","2.0"
"Venezuela (Bolivarian Republic of)","0.0","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.3","0.1","0.1","0.2","0.5","0.4","0.4"
"Viet Nam","7.2","10.2","7.8","6.7","5.7","5.8","4.4","4.2","4.4","3.9","3.6","3.5","2.6","2.5","2.4","2.3"
"Yemen","11.2","12.3","9.3","7.1","7.2","6.0","8.5","6.7","6.6","7.4","4.0","4.7","3.6","4.0","4.4","4.6"
"Zambia","49.3","50.0","48.7","45.8","48.6","57.8","59.3","43.4","26.4","28.3","61.6","42.9","51.0","45.2","32.9","35.3"
"Zimbabwe","44.2","54.7","22.1","25.9","30.3","40.6","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
