"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Switzerland","2783.0","2820.9","2637.7","2571.6","2633.5","2247.0","1794.8","1764.3","1882.3","1737.5","1726.5","1774.7","1581.8","1322.6","1191.6","1167.6"
"Syrian Arab Republic",,,,"37.6","43.5","50.7","49.6","46.6","39.8","34.1","31.4","34.1","35.3","34.6","34.1","34.9"
"Tajikistan","39.7","45.8","42.1","36.5","30.6","29.8","27.2","28.5","20.3","13.9","11.6","10.6","8.1","6.5","5.9","4.7"
"Thailand","25.5","28.2","26.7","27.7","25.5","24.9","24.2","22.3","18.8","18.4","25.2","22.0","20.8","19.5","19.5","21.3"
"Republic of North Macedonia","105.1","121.9","118.3","109.8","118.4","115.5","103.6","100.8","99.1","91.1","96.3","99.6","95.1","74.5","64.5","69.2"
"Timor-Leste","7.3","7.3","7.0","6.7","6.3","5.9","4.3","4.8","5.3","5.7","7.9","6.5","5.9","6.5",,
"Togo","18.7","21.9","21.6","20.0","21.5","19.3","16.4","14.6","12.1","10.6","10.5","10.2","9.7","8.1","7.3","7.4"
"Tonga","22.6","24.7","24.6","24.4","23.0","20.5","19.2","20.0","17.8","15.7","15.4","13.7","11.7","10.4","9.0","10.4"
"Trinidad and Tobago","427.9","393.6","386.5","380.2","336.4","285.5","385.9","384.9","330.5","262.8","272.1","236.2","199.0","144.0","130.0","122.8"
"Tunisia","102.7","110.6","112.5","112.0","113.9","102.6","99.6","99.9","87.9","77.4","72.6","70.5","61.7","50.7","45.4","43.2"
"Turkey","77.0","93.4","93.5","83.6","84.5","91.0","72.6","109.5","122.5","98.6","88.2","60.5","45.2","37.9","36.0","57.7"
"Turkmenistan","287.9","298.6","251.5","217.7","190.8","157.5","137.4","200.5","194.5","286.0","254.8","230.5","133.0","81.0","75.8","38.3"
"Tuvalu","3.3","3.7","3.9","4.1","4.1","3.1","2.7","3.7","3.0","2.2","3.0","3.2","3.4","2.6","1.9","0.4"
"Uganda","18.7","21.8","19.9","22.6","20.1","20.8","20.6","22.3","20.1","16.6","14.1","10.7","6.7","7.1","7.0","7.1"
"Ukraine","59.8","88.2","118.9","107.8","92.3","71.1","62.9","81.5","67.8","53.6","44.2","35.0","28.3","23.9","21.1","17.0"
"United Arab Emirates","249.4","287.3","267.0","241.3","250.6","243.9","215.7","336.8","316.2","292.7","275.8","270.7","241.5","238.6","116.4","172.7"
"United Kingdom of Great Britain and Northern Ireland","644.4","670.8","622.5","375.3","346.8","322.4","305.9","350.2","405.2","341.9","305.0","299.9","271.1","221.9","196.1","192.7"
"United Republic of Tanzania","8.3","10.0","10.1","10.0","12.1","11.5","11.4","11.6","10.2","9.1","9.3","8.7","8.1","7.2","6.2","4.8"
"United States of America","1057.0","1037.6","1030.4","1013.6","991.9","967.9","957.7","972.0","964.5","917.3","893.9","849.4","812.5","762.8","724.1","705.6"
"Uruguay","207.5","224.7","241.2","222.9","209.3","182.4","151.0","88.0","76.1","71.8","68.3","57.3","56.3","64.3","99.7","109.4"
"Uzbekistan","57.2","55.1","48.4","45.2","39.0","33.7","28.4","23.8","19.6","18.1","14.4","12.3","10.9","11.4","12.6","15.3"
"Vanuatu","8.8","9.1","9.5","9.6","9.7","8.9","7.5","7.4","6.9","6.2","6.1","6.0","5.3","4.7","4.4","4.5"
"Venezuela (Bolivarian Republic of)","445.8","270.0","214.3","239.1","267.7","356.4","343.7","274.1","201.7","149.9","120.3","99.4","83.5","92.4","127.6","116.7"
