"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Lithuania","296.1","321.4","315.0","285.3","261.0","222.1","231.8","263.8","200.0","170.8","143.7","121.0","81.9","65.2","58.3","55.1"
"Luxembourg","663.8","795.5","773.8","740.6","779.6","762.5","756.0","759.5","686.7","811.3","751.9","715.5","609.3","496.8","424.3","412.4"
"Madagascar","4.6","5.3","5.7","5.5","6.7","8.0","7.7","7.8","6.8","5.4","5.3","4.7","6.2","5.2","5.1","4.8"
"Malawi","3.8","2.8","2.6","3.3","3.4","3.6","3.9","3.3","2.9","1.8","1.5","1.5","1.5","1.6","0.8","0.8"
"Malaysia","141.4","159.1","146.9","139.1","130.9","108.2","86.3","96.4","88.5","76.6","66.7","59.2","50.7","42.2","38.7","39.4"
"Maldives","154.4","201.5","204.4","208.6","232.5","241.5","229.1","250.0","218.1","193.3","179.3","176.0","127.0","128.2","131.9","73.6"
"Mali","19.6","22.5","22.5","21.5","23.0","21.7","22.5","22.1","18.8","15.6","14.1","12.7","12.1","10.3","9.4","10.1"
"Malta","854.9","904.3","645.2","610.0","650.0","572.6","544.5","577.7","496.0","436.8","398.2","344.8","309.7","238.7","203.5","170.7"
"Marshall Islands","74.3","73.7","73.1","72.7","72.3","69.1","64.5","65.0","61.2","57.1","54.7","52.0","48.7","47.0","43.4","42.3"
"Mauritania","25.9","26.7","26.4","25.8","26.3","25.7","26.2","28.1","24.6","22.4","21.4","20.9","19.1","17.3","17.2","17.3"
"Mauritius","256.4","280.8","240.6","205.5","210.5","192.1","181.0","199.0","131.6","110.7","98.0","82.5","73.4","61.0","52.4","52.3"
"Mexico","221.3","246.3","255.2","247.4","241.5","246.0","226.2","270.5","284.9","269.4","257.7","233.7","223.5","204.0","189.1","161.7"
"Micronesia (Federated States of)","9.7","9.7","10.1","11.2","11.9","12.1","12.7","12.4","12.1","12.9","13.4","11.8","10.7","9.7","9.1","8.1"
"Monaco","201.0","229.0","214.3","189.0","201.9","181.3","187.3","223.0","205.0","163.9","153.3","148.7","131.2","107.0","99.6","98.9"
