"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Japan","577.0","545.7","530.8","517.4","495.8","465.2","452.7","433.1","421.1","422.0","384.4","384.6","370.0","335.1","317.8","303.3"
"Jordan","142.9","140.7","147.4","157.5","160.6","170.2","203.7","260.9","267.6","265.4","278.2","266.0","255.4","244.1","230.7","216.0"
"Kazakhstan","350.6","329.4","292.6","275.4","220.0","255.3","267.3","247.4","239.9","219.7","212.0","202.7","184.4","166.9","134.3","157.4"
"Kenya","52.4","51.0","49.1","49.8","48.2","44.8","44.8","43.7","43.6","41.6","38.6","36.3","35.3","42.8","43.6","41.5"
"Kiribati","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Kuwait","428.1","303.1","276.3","275.8","253.3","283.0","359.2","343.0","375.4","341.8","359.9","383.9","388.1","384.6","347.5","311.4"
"Kyrgyzstan","138.2","140.7","123.5","107.8","90.5","82.3","73.7","86.1","74.0","73.5","68.1","60.7","57.1","41.9","39.8","37.3"
"Lao People's Democratic Republic","75.2","71.7","62.6","50.7","47.1","43.0","39.9","32.1","38.8","66.6","70.0","67.7","60.9","42.9","39.7","36.9"
"Latvia","594.9","508.7","468.9","433.5","375.2","397.9","399.1","405.1","409.4","320.5","336.7","307.6","292.5","275.1","253.9","206.8"
"Lebanon","358.3","361.2","388.9","406.2","513.8","523.1","476.2","490.8","477.5","439.5","394.2","419.9","450.4","502.9","579.2","613.1"
"Lesotho","42.3","42.2","42.0","44.3","42.2","40.9","38.5","35.8","34.4","30.1","29.4","28.4","28.7","27.1","28.7","29.8"
"Liberia","25.1","26.3","24.2","24.3","23.9","22.8","22.2","23.5","22.1","16.2","18.6","17.5","5.4","6.4","6.8","10.2"
"Libya",,,,,"230.0","287.2","301.7","181.3","204.2","209.6","213.4","237.3","285.7","282.0","368.3","357.2"
"Lithuania","601.2","547.0","535.6","490.5","415.4","373.1","355.8","365.7","310.4","305.0","265.7","235.2","179.4","164.4","150.8","132.3"
"Luxembourg","679.3","680.4","651.6","635.6","619.6","623.2","603.4","576.1","543.8","705.2","638.8","605.7","559.0","551.6","493.4","468.0"
"Madagascar","16.6","17.0","17.5","17.2","20.2","26.4","25.4","24.4","24.9","24.1","24.1","22.7","22.2","20.4","21.8","22.1"
"Malawi","11.9","9.1","8.5","9.2","7.1","8.0","9.0","8.1","7.7","4.8","4.1","4.0","3.9","3.6","3.3","3.6"
"Malaysia","390.1","362.7","324.4","296.9","274.5","246.7","229.0","228.4","237.2","217.4","197.4","185.2","163.6","137.9","128.5","126.0"
"Maldives","247.6","345.1","359.7","358.4","398.2","385.8","363.1","428.1","400.4","370.0","365.6","351.3","248.4","247.1","243.6","124.8"
"Mali","54.9","53.6","53.7","50.9","51.6","56.2","57.4","55.7","53.0","49.0","45.2","42.7","45.0","41.7","40.7","43.6"
"Malta","1287.8","1169.3","842.2","819.0","814.3","756.6","688.8","690.6","637.0","608.8","559.4","490.1","477.5","435.5","387.0","319.1"
"Marshall Islands","85.9","82.0","77.3","76.4","77.0","74.3","69.5","70.6","67.2","61.9","58.9","55.5","52.3","50.2","48.3","45.2"
"Mauritania","85.4","76.3","68.0","66.6","63.8","69.6","79.3","77.2","79.0","75.2","81.7","81.9","83.3","82.4","82.0","78.9"
"Mauritius","556.6","531.7","455.6","385.0","379.1","374.9","366.5","353.7","266.8","239.7","212.3","168.2","156.8","145.0","126.2","119.0"
"Mexico","417.3","409.3","413.6","414.6","391.0","405.5","411.4","403.0","423.8","408.6","394.1","367.8","354.6","300.5","280.2","250.9"
"Micronesia (Federated States of)","11.3","10.6","11.3","12.4","13.5","14.0","14.9","15.2","15.2","16.4","16.7","14.6","13.1","11.5","10.7","9.4"
"Monaco","206.6","205.5","187.7","167.2","165.1","150.4","148.2","167.3","164.6","142.0","134.0","127.4","123.7","126.3","121.0","114.2"
"Mongolia","184.5","174.5","168.3","121.2","101.9","79.2","72.4","71.1","63.1","57.0","65.5","52.2","45.0","46.2","43.1","40.5"
"Montenegro","304.5","293.7","286.4","272.5","280.6","265.9","259.5","298.4","261.3","191.0","163.2","148.3","140.7","148.1","130.7","107.3"
"Morocco","231.1","222.9","215.9","216.2","214.0","208.9","192.1","175.8","166.0","154.1","136.7","120.7","107.1","95.5","85.7","77.3"
"Mozambique","4.4","4.3","4.4","4.3","3.9","3.8","4.0","3.9","4.1","4.2","3.9","3.9","3.8","3.5","2.8","2.8"
"Myanmar","197.5","182.0","58.4","56.9","53.7","53.7","57.4","51.7","43.9","39.2","38.8","33.8","29.6","26.0","21.2","18.8"
"Namibia","78.5","74.5","82.2","92.3","88.3","74.8","60.3","46.2","58.4","25.7","32.1","27.2","30.0","21.4","15.1","14.8"
"Nauru","13.3","9.6","7.6","5.6","12.2","16.5","18.6","29.6","20.0","22.9","22.6","29.3","28.1","28.3","29.4","30.4"
"Nepal","91.0","82.7","75.8","62.1","60.2","54.4","47.5","47.7","42.4","27.1","33.3","33.9","31.8","30.0","28.7","26.1"
"Netherlands","651.0","651.5","620.9","529.7","482.7","456.3","439.2","469.4","351.3","342.8","367.3","237.6","227.5","228.1","224.0","211.3"
"New Zealand",,,"422.6","400.6","391.3","378.8","377.6","367.2","279.5","331.6","298.8","280.1",,"294.5","287.7","246.7"
"Nicaragua","146.1","139.3","132.4","126.1","118.7","113.9","111.8","115.9","110.9","95.2","82.3","80.0","70.0","74.9","63.3","63.3"
"Niger","35.8","30.5","30.4","31.2","30.8","30.0","28.9","29.0","29.0","28.1","26.0","25.6","24.0","22.3","21.5","20.8"
"Nigeria","155.5","143.8","137.6","133.1","130.5","127.9","222.1","193.2","187.4","184.5","165.5","158.6","149.3","63.6","77.0","63.5"
"Niue","14.9","14.5","14.3","14.3","14.1","12.9","15.4","14.3","13.0","12.9","11.6","10.3","10.3","10.7","8.9","7.5"
"Norway","888.0","888.2","878.3","854.6","835.3","782.5","772.0","774.3","727.1","707.9","667.8","631.0","591.2","577.0","516.3","512.2"
"Oman","104.1","86.6","86.3","116.5","116.4","126.9","143.7","108.2","110.8","103.4","100.7","118.9","118.5","117.3","127.8","125.4"
"Pakistan","89.4","87.3","78.4","67.4","67.8","76.7","78.8","87.7","91.8","89.9","74.1","54.8","52.2","48.5","49.6","53.0"
"Palau","226.8","229.6","229.6","230.9","232.5","235.5","217.9","210.7","214.0","198.6","181.2","170.9","163.9","164.5","149.1","151.5"
"Panama","470.9","447.9","430.9","420.2","343.9","312.9","291.8","283.2","259.9","228.1","211.1","200.4","179.0","177.9","167.6","161.5"
"Papua New Guinea","5.7","5.0","6.9","8.0","8.9","7.8","6.7","5.0","4.9","4.8","4.7","5.1","4.8","5.0","4.3","4.0"
"Paraguay","264.3","253.8","235.9","217.0","215.7","204.3","177.5","190.6","165.4","150.8","137.4","132.6","120.8","114.3","126.2","127.1"
"Peru","207.5","192.3","198.5","205.6","190.2","183.5","181.5","177.0","153.4","129.9","104.7","100.4","87.7","96.0","93.2","90.1"
"Philippines","172.8","161.0","167.7","155.6","141.4","129.7","123.8","118.0","107.1","96.7","86.5","60.7","56.8","46.4","45.4","43.5"
"Poland","396.2","371.7","372.8","358.6","341.2","321.2","309.3","285.2","259.1","238.1","223.9","230.6","201.5","189.4","183.1","175.5"
"Portugal","735.9","718.7","682.5","695.0","670.3","659.7","644.4","643.4","598.6","567.0","500.4","460.6","431.6","394.4","403.8","396.5"
"Qatar","242.9","174.2","181.2","242.8","349.5","410.8","472.0","345.6","413.7","447.6","467.5","572.9","591.0","615.6","555.8","518.0"
"Republic of Korea","940.4","895.4","855.6","819.8","765.4","737.1","675.3","647.6","616.0","560.7","500.3","447.4","417.2","361.9","337.4","313.0"
"Republic of Moldova","238.0","197.8","206.6","195.0","204.2","188.3","220.0","197.3","167.9","156.0","120.2","90.6","81.1","75.5","64.7","52.4"
"Romania","232.0","212.2","207.2","199.9","203.7","192.1","182.0","152.5","119.5","116.7","97.9","119.4","61.2","58.2","53.5","47.7"
"Russian Federation","515.2","480.0","439.3","424.1","396.6","384.9","404.6","333.4","265.7","236.7","192.9","176.4","170.5","148.5","127.6","111.0"
"Rwanda","37.2","34.9","33.1","32.2","30.8","28.8","27.1","26.5","23.9","22.3","19.0","15.2","10.7","8.0","7.4","7.2"
"Saint Kitts and Nevis","817.2","787.2","737.6","690.9","690.2","661.9","670.6","687.8","636.1","618.5","529.7","472.7","445.3","437.0","422.5","401.4"
"Saint Lucia","329.7","334.5","470.6","441.2","463.0","426.4","393.5","406.6","386.7","321.6","301.0","289.3","254.3","231.9","215.0","204.6"
"Saint Vincent and the Grenadines","100.7","101.0","94.6","89.3","88.9","82.6","79.5","75.6","68.2","64.3","58.1","55.0","51.5","47.0","43.2","39.6"
"Samoa","38.6","39.7","38.8","38.5","37.7","36.4","37.2","37.8","34.5","31.5","30.2","26.0","25.3","23.6","20.0","17.3"
"San Marino","673.5","691.4","686.3","668.2","681.3","664.0","731.3","726.4","663.0","641.5","603.3","613.7","605.4","690.5","724.1","719.1"
"Sao Tome and Principe","36.0","32.0","32.6","31.9","35.4","37.2","41.1","43.7","55.2","61.1","68.0","68.9","64.0","65.6","68.2","45.7"
"Saudi Arabia","467.6","361.4","328.7","308.1","281.4","307.7","339.1","248.3","239.1","210.9","201.6","216.3","219.1","225.5","234.2","225.7"
"Senegal","42.9","41.6","39.8","38.3","37.4","37.3","37.6","38.1","37.8","33.9","34.4","55.6","49.4","44.2","40.8","37.9"
